random_row,city,lat,temp,humidity,cloudiness,wind speed
233,zima,53.93,54.59,68.0,0.0,1.05
514,maniitsoq,65.42,43.25,79.0,88.0,11.52
12,yellowknife,62.45,68.0,40.0,20.0,5.82
39,nikolskoye,59.7,57.61,54.0,20.0,11.18
539,talisayan,14.31,82.72,74.0,20.0,4.7
277,esso,55.93,45.05,88.0,1.0,0.63
379,vila franca do campo,37.72,64.4,93.0,75.0,8.05
487,prince rupert,54.32,60.8,82.0,1.0,8.05
53,anloga,5.79,80.6,83.0,20.0,13.87
207,chara,39.42,85.73,30.0,40.0,5.82
461,san juan,-31.54,34.43,75.0,37.0,7.07
406,itoman,26.12,80.4,94.0,75.0,10.29
166,zachary,30.65,93.81,52.0,1.0,4.7
251,cambridge,43.39,83.53,58.0,20.0,3.36
141,baykit,61.68,62.69,62.0,35.0,1.23
184,griffith,-34.29,46.45,87.0,9.0,13.87
529,buraydah,26.33,100.4,17.0,0.0,5.82
481,zhangjiakou,40.77,62.15,66.0,77.0,8.77
25,norman wells,65.28,68.0,52.0,75.0,9.17
243,rio grande,-32.03,57.2,52.0,0.0,10.29
87,vila velha,-3.71,84.24,58.0,0.0,17.22
507,kamenka,48.03,64.99,67.0,39.0,5.53
103,bodaybo,57.85,47.21,67.0,68.0,1.03
411,clearlake,38.96,77.18,36.0,1.0,3.36
190,mahebourg,-20.41,69.57,78.0,40.0,6.93
178,puerto leguizamo,-0.19,82.49,82.0,45.0,3.78
132,ewa beach,21.32,78.98,69.0,20.0,3.69
96,port hardy,50.7,55.4,87.0,90.0,3.36
538,constantine,36.36,89.6,24.0,75.0,11.41
426,princeville,46.17,88.32,43.0,1.0,16.11
218,vallenar,-28.58,71.69,30.0,0.0,7.29
9,kamyshin,50.08,65.39,54.0,65.0,7.76
418,shubarshi,48.59,78.71,28.0,0.0,5.35
442,dhidhdhoo,6.88,83.21,77.0,92.0,11.39
357,cooma,-36.24,39.2,100.0,90.0,1.74
324,san martin,37.08,69.1,72.0,1.0,8.05
168,ust-nera,64.57,41.27,88.0,100.0,2.19
436,linhares,-19.38,87.53,36.0,33.0,5.77
101,beyneu,45.32,87.17,24.0,0.0,10.29
516,lieksa,63.32,59.81,54.0,60.0,6.42
348,puerto escondido,15.86,87.8,66.0,90.0,6.93
4,bredasdorp,-34.53,58.59,55.0,100.0,14.99
419,ponta delgada,37.73,64.4,93.0,75.0,8.05
434,geraldton,49.72,69.8,94.0,75.0,4.7
47,tasiilaq,65.61,53.6,54.0,5.0,6.93
359,coahuayana,18.62,85.01,68.0,100.0,1.83
352,price,39.6,78.44,12.0,1.0,5.82
471,majene,-3.54,80.87,78.0,58.0,14.85
464,nhulunbuy,-12.18,66.2,93.0,51.0,3.36
369,sedan,49.7,72.19,49.0,0.0,5.82
340,minab,27.15,93.2,79.0,0.0,4.7
470,tecoanapa,16.99,86.0,74.0,90.0,4.7
321,ambovombe,-25.18,71.33,82.0,2.0,16.89
347,hobyo,5.35,77.99,74.0,100.0,27.65
407,koudougou,12.25,101.39,25.0,88.0,6.87
385,kieta,-6.22,78.35,80.0,84.0,5.53
500,najran,17.54,91.4,14.0,0.0,10.04
287,mercedes,-33.25,48.99,57.0,0.0,18.01
431,holme,56.11,53.35,93.0,100.0,18.34
76,epe,52.18,71.56,52.0,96.0,6.93
234,portobelo,9.55,90.52,62.0,40.0,9.17
248,whitehorse,60.72,69.62,49.0,75.0,4.7
255,lagoa,37.14,69.21,73.0,20.0,12.75
244,poum,41.28,78.8,50.0,20.0,5.82
38,praia da vitoria,38.73,73.0,64.0,20.0,7.67
29,hobart,-42.88,38.19,93.0,75.0,4.7
105,omsukchan,62.53,52.79,58.0,34.0,6.67
485,ust-tsilma,65.44,61.07,95.0,64.0,3.31
223,georgetown,6.8,87.93,74.0,75.0,13.87
533,tsumeb,-19.25,57.83,20.0,0.0,4.65
20,bandarbeyla,9.49,81.59,54.0,9.0,24.76
556,ponta do sol,-20.63,73.31,49.0,54.0,11.1
208,cocorit,27.57,93.2,30.0,75.0,9.17
298,trinidad,-14.83,75.2,78.0,75.0,3.36
532,la rioja,-29.41,47.57,57.0,12.0,7.27
543,mednogorsk,51.41,62.87,76.0,9.0,2.68
523,toora-khem,52.47,54.05,85.0,89.0,1.9
505,san borja,-14.86,75.29,92.0,92.0,4.47
433,nogliki,51.8,45.41,97.0,100.0,9.08
150,hithadhoo,-0.6,84.47,77.0,100.0,12.39
109,ancud,-41.87,46.4,81.0,75.0,4.7
91,arlit,18.74,106.79,10.0,10.0,5.77
18,qaanaaq,77.48,42.71,58.0,96.0,3.49
557,washougal,45.58,69.78,64.0,1.0,5.82
198,brae,60.4,51.8,81.0,100.0,11.41
203,hue,16.47,80.6,74.0,20.0,3.36
289,monrovia,6.33,77.0,94.0,75.0,4.7
257,nemuro,43.32,51.71,96.0,92.0,10.16
437,hovd,63.83,51.15,81.0,75.0,24.16
412,xuddur,4.12,78.35,59.0,91.0,16.04
469,cockburn town,21.46,86.0,66.0,40.0,11.41
349,pisco,-13.71,67.6,30.0,90.0,6.93
354,mangrol,25.33,91.49,54.0,87.0,16.22
522,nalut,31.86,91.49,22.0,0.0,15.17
496,sola,-3.17,72.05,39.0,41.0,4.72
432,nabire,-3.36,68.99,99.0,96.0,3.49
74,leningradskiy,69.38,35.51,98.0,100.0,4.56
108,barrow,-38.31,43.61,65.0,93.0,20.11
177,leeton,-34.55,46.47,87.0,9.0,8.05
123,didi lilo,41.74,77.0,57.0,0.0,25.28
519,sao bernardo,-3.36,88.97,52.0,0.0,3.4
491,yulara,-25.24,42.8,56.0,0.0,6.93
313,gornopravdinsk,60.06,59.45,89.0,21.0,2.71
176,linxia,35.6,59.09,46.0,0.0,11.16
89,bilibino,68.06,46.49,73.0,98.0,2.62
165,eregli,37.51,75.47,31.0,0.0,8.37
279,ningbo,29.88,73.33,94.0,75.0,2.24
232,ola,59.58,44.69,93.0,100.0,5.32
139,cidreira,-30.17,52.97,51.0,42.0,14.23
430,ojinaga,29.56,95.0,24.0,1.0,13.87
453,port-cartier,50.03,69.8,60.0,40.0,8.05
72,manakara,-22.14,66.65,90.0,92.0,3.58
537,osakarovka,50.56,61.79,71.0,24.0,5.93
320,bakchar,57.02,61.97,95.0,60.0,4.36
99,lorengau,-2.02,77.99,81.0,68.0,2.68
163,chokurdakh,70.62,45.23,77.0,45.0,5.14
222,shenjiamen,29.96,72.23,86.0,100.0,1.57
183,cabedelo,-6.97,82.4,78.0,75.0,13.87
180,longhua,29.21,68.45,96.0,100.0,1.25
14,ushuaia,-54.81,28.6,86.0,0.0,3.36
130,teknaf,20.86,85.01,79.0,95.0,13.78
284,martapura,-3.41,76.73,87.0,25.0,7.09
253,kantunilkin,21.1,89.31,62.0,40.0,9.17
42,thompson,55.74,53.6,87.0,90.0,12.75
262,kushima,31.5,73.0,94.0,100.0,3.0
508,lukulu,-14.38,67.19,40.0,0.0,4.65
220,la ronge,55.1,57.2,71.0,90.0,23.04
561,lata,30.78,45.95,88.0,82.0,2.48
95,lindi,-10.0,69.17,75.0,4.0,3.85
121,faya,18.39,70.74,73.0,0.0,3.36
200,hambantota,6.12,78.8,100.0,20.0,4.7
143,kirakira,-10.46,77.09,85.0,63.0,4.99
5,new norfolk,-42.78,38.19,93.0,75.0,4.7
511,chernenko,47.23,64.49,64.0,17.0,9.28
79,pitimbu,-7.47,82.4,78.0,75.0,13.87
161,castro,-42.48,46.4,81.0,75.0,4.7
525,voh,-20.95,69.53,77.0,89.0,7.56
476,narasannapeta,18.42,83.21,78.0,92.0,13.94
239,luderitz,-26.65,57.2,87.0,0.0,17.22
0,brookings,44.31,77.92,69.0,75.0,4.7
383,orocue,4.79,87.89,59.0,17.0,11.56
135,henties bay,-22.12,61.0,72.0,0.0,11.74
553,tomatlan,19.93,86.99,54.0,0.0,6.67
126,hargeysa,9.56,77.81,47.0,86.0,21.36
372,seoul,37.57,67.19,77.0,1.0,1.23
536,bemidji,47.48,75.36,69.0,40.0,10.29
162,kizukuri,40.81,62.53,96.0,25.0,6.46
260,tupiza,-21.44,56.21,7.0,77.0,11.23
392,golden gate,38.36,86.67,66.0,1.0,3.36
37,punta arenas,-53.16,33.53,86.0,75.0,11.41
495,san cristobal,14.68,85.91,26.0,0.0,12.3
337,phetchaburi,13.1,72.05,90.0,100.0,5.66
446,phrae,18.14,80.01,87.0,100.0,4.54
451,verkhnevilyuysk,63.45,45.77,98.0,66.0,2.26
415,yangambi,0.77,79.79,62.0,97.0,2.24
534,ayan,38.23,58.55,52.0,12.0,3.53
237,oranjemund,-28.55,56.57,91.0,0.0,11.81
136,waipawa,-39.94,43.0,96.0,100.0,1.99
43,ribeira grande,38.52,75.2,60.0,20.0,4.7
515,qasigiannguit,68.82,51.8,50.0,40.0,4.7
186,powell river,49.84,64.76,82.0,90.0,2.24
271,rio gallegos,-51.62,35.6,59.0,75.0,6.93
517,dalby,-27.18,53.91,82.0,75.0,17.22
480,cap-aux-meules,47.38,60.8,67.0,75.0,6.93
280,hamilton,43.26,82.92,69.0,75.0,3.36
391,lady lake,28.92,94.15,55.0,1.0,5.82
240,aktau,43.65,73.4,40.0,0.0,6.71
501,coihaique,-45.58,39.76,75.0,75.0,1.12
460,karabash,55.49,56.93,95.0,0.0,8.55
527,shizunai,42.33,57.83,98.0,86.0,2.46
421,isangel,-19.55,74.39,76.0,0.0,9.64
282,peniche,39.36,70.14,56.0,20.0,6.93
353,plettenberg bay,-34.05,55.13,71.0,33.0,3.98
11,torbay,47.66,51.96,100.0,90.0,3.36
296,praya,-8.71,75.2,100.0,20.0,5.97
335,phayao,19.17,70.61,95.0,100.0,3.91
41,lodwar,3.12,88.97,31.0,2.0,5.75
71,saint-philippe,45.36,89.78,36.0,1.0,6.98
560,hjelset,62.78,49.23,58.0,75.0,4.7
159,severo-kurilsk,50.68,42.17,97.0,99.0,11.1
266,pahrump,36.21,85.8,11.0,1.0,4.7
346,nova olimpia,-14.8,96.35,24.0,0.0,8.19
478,makakilo city,21.35,78.98,78.0,1.0,3.69
241,mount isa,-20.73,59.0,47.0,40.0,3.36
124,salalah,17.01,82.4,94.0,75.0,5.82
16,provideniya,64.42,49.19,87.0,98.0,4.99
44,ulaangom,49.98,62.69,42.0,100.0,3.83
194,chupa,-15.11,64.4,3.0,0.0,3.36
179,corner brook,48.95,57.83,62.0,75.0,9.17
435,boa vista,2.82,89.6,52.0,40.0,8.05
228,carutapera,-1.2,84.11,69.0,23.0,9.26
119,sabang,13.8,72.77,91.0,22.0,0.94
341,evensk,61.92,48.11,90.0,100.0,1.68
250,ahipara,-35.17,56.21,68.0,18.0,16.11
376,wabag,-5.48,47.03,98.0,58.0,0.69
380,old shinyanga,-3.56,71.33,40.0,7.0,5.14
473,sioux lookout,50.1,70.86,68.0,75.0,2.75
389,neiafu,-18.65,75.2,83.0,40.0,12.75
513,havre-saint-pierre,50.23,69.8,49.0,1.0,12.75
63,pevek,69.7,33.35,98.0,97.0,7.76
26,tpig,41.78,52.61,80.0,41.0,5.77
377,salekhard,66.54,70.07,69.0,51.0,10.07
304,port moresby,-9.47,76.73,84.0,99.0,17.31
318,matara,-3.48,52.61,80.0,63.0,0.31
147,poli,8.48,76.19,87.0,82.0,1.39
540,shambu,9.57,56.57,93.0,17.0,1.19
1,ati,13.21,100.31,26.0,12.0,4.36
535,sumbe,-11.2,71.69,87.0,0.0,7.49
550,praxedis guerrero,31.37,95.14,15.0,20.0,17.22
54,kushiro,43.11,53.33,97.0,61.0,0.36
86,ixtapa,20.71,87.89,33.0,5.0,10.29
498,talaya,55.79,63.54,88.0,0.0,4.47
322,ardakan,32.31,98.6,14.0,0.0,4.7
117,gravdal,59.79,54.72,71.0,20.0,16.11
36,albany,42.65,88.25,40.0,75.0,3.36
458,lagos,6.46,78.8,94.0,40.0,6.93
524,mayo,63.59,69.8,52.0,90.0,2.24
154,sao felix do xingu,-6.64,89.69,46.0,38.0,2.26
438,nyuksenitsa,60.41,53.87,96.0,98.0,3.8
149,cabo san lucas,22.89,85.91,55.0,5.0,4.7
97,san mateo del mar,16.21,95.45,41.0,48.0,12.97
216,muros,42.77,66.69,77.0,75.0,8.05
148,fort nelson,58.81,64.4,52.0,75.0,3.36
301,belogorsk,50.92,55.49,97.0,100.0,6.17
202,road town,18.42,87.17,55.0,40.0,12.75
77,sao joao da barra,-21.64,81.39,58.0,0.0,11.41
468,canto do buriti,-8.11,91.13,39.0,14.0,4.12
329,markala,13.69,102.83,22.0,100.0,7.49
158,ubinskoye,55.31,57.29,91.0,55.0,6.73
290,lewistown,40.39,86.07,78.0,40.0,4.7
427,touros,-5.2,84.2,74.0,75.0,12.75
175,clyde river,70.47,35.6,100.0,90.0,4.7
512,kavaratti,10.57,83.93,78.0,100.0,17.47
116,inuvik,68.36,56.41,93.0,90.0,5.82
51,masyaf,35.06,78.8,78.0,20.0,4.7
92,poya,-21.35,70.97,75.0,91.0,9.93
201,thunder bay,48.41,70.36,77.0,75.0,9.17
365,manggar,-2.88,77.81,89.0,78.0,3.02
8,hilo,19.71,74.12,88.0,90.0,6.93
80,tarko-sale,64.92,70.0,77.0,38.0,10.71
402,nome,30.04,89.53,70.0,75.0,9.17
189,dickinson,46.88,63.21,72.0,90.0,8.05
69,raudeberg,61.99,52.81,62.0,20.0,16.11
456,sao jose da coroa grande,-8.9,79.61,81.0,50.0,6.98
195,victoria,5.28,78.01,94.0,75.0,5.99
308,barra do garcas,-15.89,93.2,30.0,40.0,13.87
274,novyy urengoy,66.08,75.65,41.0,78.0,8.93
445,huntsville,34.73,89.74,52.0,75.0,9.17
129,arraial do cabo,-22.97,71.6,94.0,75.0,17.22
245,chistoye,56.54,57.07,62.0,20.0,8.95
400,lagunas,-5.23,91.31,48.0,6.0,3.36
33,mitsamiouli,-11.38,78.89,76.0,0.0,20.24
